from_path,to_path,source
/blogs/news/understanding-muscle-fiber-types-and-their-crucial-roles-in-strength-training,/blogs/training-wellness/understanding-muscle-fiber-types-and-their-crucial-roles-in-strength-training,A3 move 1
/blogs/news/rowing-machine-benefits,/blogs/training-wellness/rowing-machine-benefits,A3 move 2
/blogs/news/hot-weather-strength-training-tips,/blogs/training-wellness/hot-weather-strength-training-tips,A3 move 3
/blogs/news/workout-burnout-recovery-tips,/blogs/training-wellness/workout-burnout-recovery-tips,A3 move 4
/blogs/news/sleep-and-fitness-gains,/blogs/training-wellness/sleep-and-fitness-gains,A3 move 5
/blogs/news/fitness-goals-2026,/blogs/training-wellness/fitness-goals-2026,A3 move 6
/blogs/buying-guides/marcus-filly-pendulum-squat-workout-guide,/blogs/training-wellness/marcus-filly-pendulum-squat-workout-guide,A3 move 7
/blogs/buying-guides/eliza-french-fitness-weight-sled-conditioning,/blogs/training-wellness/eliza-french-fitness-weight-sled-conditioning,A3 move 8
/blogs/maintenance/9-mistakes-youre-making-on-the-elliptical,/blogs/training-wellness/9-mistakes-youre-making-on-the-elliptical,A3 move 9
/blogs/news/benefits-of-aluminum-pulleys-for-fitness-equipment,/blogs/buying-guides/top-cable-machines-for-versatile-workouts,A4 retirement
