ref,sku,issue,current_source,live_evidence_2026-07-29,owner,status,tim_approval_required,proof
H1,FF-MSS (10 variants),"Compare-at pricing implies a 60-82% discount across every variant - the pattern Google called deception in the Save 40% cleanup","variant.price / variant.compareAtPrice (SAPI-DIRECT)","UNCHANGED since flagged 2026-07-27. Live: price 108.00-327.00 vs compare_at 449.00-1759.00. Widest is FF-MSS-48-2T at 108.00 vs 449.00 = 76% implied. FF-MSS-151-3T 327.00 vs 1759.00 = 81%. Product ACTIVE, tagged july4-exclude. Shopify updatedAt 2026-07-16.",Tim (decision) / Larianne,BLOCKED,YES,"Shopify Admin GraphQL read 2026-07-29; handled in the deceptive-pricing/GMC thread, not blocking this proof pack"
H2,FF-AGSL (3 variants),"Inventory 0 but availableForSale true, so structured data and the feed would publish InStock","variant.inventoryQuantity vs variant.availableForSale (SAPI-DIRECT)","CONFIRMED STILL OPEN. All 3 variants inventory_quantity=0, availableForSale=true, inventoryPolicy=DENY. Product ACTIVE. Also now tagged REMOVE FROM FEEDS, which explains the Google feed absence. Title also changed since the June snapshot (now French Fitness Gym Turf Roll 82 ft x 6.5 ft), confirming the snapshot must not become permanent truth.",Ops / Product (inventory); Kevin/Yusra (feed+schema agreement),LIVE-FETCH,NO,Shopify Admin GraphQL read 2026-07-29
H3,FF-AGSL (3 variants),"No SKU on any variant, which breaks the overlay and feed join keys","variant.sku (SAPI-DIRECT)","CONFIRMED. sku is null on all 3 variants. custom.product_code carries a slash-joined string (FF-AGSL / FF-AGSL-V2 / FF-AGSL-V3), which is not a join key. barcode also null on all 3.",Larianne / Product,BLOCKED,NO,Shopify Admin GraphQL read 2026-07-29
H4,FF-RCHD duplicate (10353232380220),"Duplicate Rubber Hex listing, inventory 0 with availableForSale true","product.status + variant.sku (SAPI-DIRECT)","CHANGED SINCE SNAPSHOT - partially resolved. Now status UNLISTED and tagged hidden, so it should not feed. Remaining: sku null on all variants, inventory 0 with availableForSale true, and onlineStoreUrl still resolves. The live listing (10247596147004) is ACTIVE with SKUs present.",Larianne / Product,BLOCKED,NO,"Shopify Admin GraphQL read 2026-07-29; parent/URL decision stays in the Consolidated Listings thread"
H5,FF-FSR100-CB,"Out-of-stock hold - feed and schema output must match OutOfStock","product.tags + variant.availableForSale (SAPI-DIRECT)","CONFIRMED AS DESCRIBED. Product ACTIVE, tagged OUT_OF_STOCK_HOLD, inventory_quantity=-9999, availableForSale=false. availableForSale is correctly false, so it is a safe signal to key schema and feed off - inventory_quantity alone is not.",Kevin / Yusra (feed+schema),LIVE-FETCH,NO,Shopify Admin GraphQL read 2026-07-29
H6,"FF-XT8, FF-SR6, FF-RR-MDVBH, FF-RR-DSBA-71","GTIN exists on the product record but variant.barcode is blank, and the Google feed reads barcode - so all four look GTIN-less to Merchant Center","variant.barcode vs metafield custom.upc_code (SAPI-DIRECT vs SAPI-META)","ALL FOUR CONFIRMED. barcode null on every variant; custom.upc_code populated: FF-XT8=810041975034, FF-SR6=810041972033, FF-RR-MDVBH=810157291080, FF-RR-DSBA-71=810041979346. Cheap fix - it is a mapping gap, not missing data.",Kevin / Yusra (feed mapping proposal only),BLOCKED,NO,Shopify Admin GraphQL read 2026-07-29
H7,MX-LS2-01,"Warranty asserts coverage without stating terms, so it is not verifiable and cannot be stated on any customer-facing or AI surface","metafield custom.warranty (SAPI-META)","CONFIRMED UNCHANGED. custom.warranty reads exactly ""Full Manufacturer's Warranty"". condition_state=New. No barcode on the variant either.",Larianne / Product,BLOCKED,NO,Shopify Admin GraphQL read 2026-07-29
H8,FF-RIG3,"Comparison chart names a competitor directly and needs sign-off before any AI surface quotes it","metaobject features_specs.comparison_chart_title + comparison_chart_table (SAPI-META)","CONFIRMED. Chart title is ""Comparison Chart (French Fitness vs Rogue)"" and the table compares against ""Rogue Monster Lite Monkey Rig 2.0"" across 9 rows including steel gauge, hole spacing, footprint and warranty. Held in pdp_content_needs_approval and excluded from the embeddable block.",Tim (approval) / Larianne,BLOCKED,YES,Shopify Admin GraphQL read 2026-07-29
H9,all 20,"Inventory values are placeholder buffers, not stock on hand","variant.inventoryQuantity (SAPI-DIRECT)","CONFIRMED on every product checked. Examples: FFT-ACD 9909, FF-MSS 9999 on all 10 variants, FF-RCHD 9990-9999. Flagged live_fetch_required and never embedded.",Ops,LIVE-FETCH,NO,Shopify Admin GraphQL read 2026-07-29
H10,20 of 20,"set_includes is null on every sample SKU checked - authoring gap on the metaobject entry, not a resolver gap","metaobject features_specs.set_includes (SAPI-META)","CONFIRMED on FF-RIG3 and FF-AGSL. The resolver returns the field correctly; the field is unauthored.",Shikha (metaobject) / Content,BLOCKED,NO,Shopify Admin GraphQL read 2026-07-29
