article_title,article_id,blog,published,body_words_live,action,target_or_note
Benefits Of Aluminum Pulleys For Fitness Equipment,609729151292,news,2021-05-26,75,301 RETIRE,"301 to /blogs/buying-guides/top-cable-machines-for-versatile-workouts - thin (75 words) legacy post, no expansion path"
Benefits of Acceleration Training with the Power Plate,609715552572,buying-guides,2011-09-15,843,IMPROVE IN PLACE,"Power Plate line is still active in the live catalog (10 models on /pages/power-plate-comparisons). Refresh, add last-updated, link the Power Plate chart. Do NOT 301"
Using Alternators and Batteries to Power Fitness Equipment,609729282364,maintenance,2021-05-26,834,IMPROVE IN PLACE,"On-topic for Maintenance & Setup. Refresh and add last-updated"
Technogym Console Comparisons,610357838140,comparisons,2025-06-09,326,EXPAND OR MERGE,"Thin. Either expand or merge into the console comparison charts and 301"
Traditional Steam Saunas VS Infrared Saunas,610470986044,comparisons,2025-07-04,383,EXPAND,"Thin (383 words)"
How to Build a Home Gym: Step-by-Step Beginner Friendly Guide,610836087100,buying-guides,2025-09-04,457,EXPAND (priority),"Thin (457 words) and it is pinned in the hub 'Popular Right Now' block"
Best Treadmills for Home Use in 2026 (Expert Picks),611283271996,buying-guides,2025-10-03,3544,SCHEDULED REFRESH,"Year-stamped title. Refresh in Q1 2027"
Leasing vs Buying Commercial Gym Equipment: What's Best in 2026?,611472277820,buying-guides,2025-10-17,2876,SCHEDULED REFRESH,"Year-stamped title. Refresh in Q1 2027"
How to Maintain Your Treadmill for Longevity (Expert Guide 2026),611274326332,maintenance,2025-10-02,2155,SCHEDULED REFRESH,"Year-stamped title. Refresh in Q1 2027"
22 Fitness Goals to Crush in 2026 and Build Your Strongest Year Yet,611766305084,news,2025-11-07,1817,SCHEDULED REFRESH,"Year-stamped title. Refresh in Q1 2027. Also moving per A3 row 6"
Test Case Study Blog,611447931196,case-studies,DRAFT,n/a,DELETE,"Unpublished placeholder draft, no value"
